,precision,recall,f1-score,support
0,1.0,1.0,1.0,66.0
1,1.0,0.9887798036465638,0.9943582510578279,713.0
2,1.0,1.0,1.0,560.0
3,1.0,1.0,1.0,395.0
4,1.0,0.9982425307557118,0.9991204925241864,569.0
5,1.0,1.0,1.0,579.0
6,1.0,1.0,1.0,239.0
7,1.0,1.0,1.0,173.0
8,1.0,1.0,1.0,117.0
9,1.0,1.0,1.0,315.0
10,0.9971671388101983,1.0,0.9985815602836879,352.0
11,1.0,0.9871794871794872,0.9935483870967742,78.0
12,0.9785202863961814,1.0,0.9891435464414958,410.0
13,1.0,1.0,1.0,91.0
14,1.0,1.0,1.0,87.0
15,1.0,1.0,1.0,87.0
16,0.9942196531791907,1.0,0.9971014492753624,172.0
17,1.0,1.0,1.0,79.0
18,1.0,1.0,1.0,418.0
19,1.0,0.994475138121547,0.997229916897507,181.0
20,1.0,1.0,1.0,66.0
21,1.0,1.0,1.0,157.0
22,1.0,1.0,1.0,81.0
23,1.0,0.9929245283018868,0.9964497041420118,424.0
24,1.0,0.9929078014184397,0.99644128113879,141.0
25,1.0,1.0,1.0,218.0
26,1.0,1.0,1.0,58.0
27,1.0,1.0,1.0,199.0
28,1.0,1.0,1.0,112.0
29,1.0,1.0,1.0,348.0
30,1.0,1.0,1.0,101.0
31,1.0,1.0,1.0,52.0
32,0.9966044142614601,1.0,0.9982993197278912,587.0
33,1.0,1.0,1.0,95.0
34,0.9964285714285714,0.998211091234347,0.9973190348525469,559.0
35,1.0,0.9907407407407407,0.9953488372093023,108.0
36,1.0,1.0,1.0,69.0
37,1.0,1.0,1.0,65.0
38,0.9884393063583815,0.9922630560928434,0.9903474903474904,517.0
39,1.0,1.0,1.0,112.0
40,1.0,0.986013986013986,0.9929577464788732,429.0
41,0.9821882951653944,0.9974160206718347,0.9897435897435898,387.0
42,1.0,1.0,1.0,406.0
accuracy,0.997448049580751,0.997448049580751,0.997448049580751,0.997448049580751
macro avg,0.9984550619906831,0.9981198647483113,0.9982788513306359,10972.0
weighted avg,0.9974792457935455,0.997448049580751,0.997451358065696,10972.0
